Latitude	Longitude	Altitude	Time	Cond.1[mS/m]	Inph.1[ppt]	Cond.2[mS/m]	Inph.2[ppt]	Cond.3[mS/m]	Inph.3[ppt]	Inv.Cond.1[mS/m]	Inv.Cond.2[mS/m]	Inv.Thick [m]	Inv.RMS[%]	Note
49.88137396	5.282347015	448.117	01:57.8	2.93	2.71	5.76	3.14	2.87	3.65	0.33	4.11	0.1	28.1	
49.88137613	5.282352908	448.14	01:58.2	2.25	2.68	5.3	3.1	1.05	3.58	-1	-1	-1	-1	
49.88137909	5.282357015	448.185	01:58.8	7.03	2.75	9.58	3.72	3.49	4.27	10.53	1.05	0.8	29.6	
49.88138103	5.282361547	448.174	01:59.3	25.85	3.08	9.2	3.41	1.46	2.95	-1	-1	-1	-1	
49.88138278	5.282366257	448.208	01:59.7	4.03	2.78	4.9	3.06	4.14	3.67	4.35	3.66	1.1	7.5	
49.88138598	5.282371522	448.179	02:00.3	2.42	2.73	6.29	3.2	5.2	4.1	0.09	6.33	0.3	21.9	
49.88138797	5.282377537	448.206	02:00.8	2.46	2.72	5.43	3.24	5.51	4.05	0.64	6.34	0.4	10.7	
49.88138981	5.28238137	448.184	02:01.3	3.46	2.72	6.32	3.21	5.15	4.1	0.34	5.84	0.2	14	
49.88139291	5.282385147	448.163	02:01.8	1.56	2.74	7.13	3.16	4.79	4.12	-1	-1	-1	-1	
49.88139433	5.282389823	448.19	02:02.3	3.46	2.75	7.33	3.19	4.63	4.02	0.23	5.94	0.2	22.3	
49.88139599	5.282393527	448.206	02:02.7	4.93	2.73	7.53	3.2	5.71	3.97	1.24	6.28	0.1	11.7	
49.88139897	5.282398425	448.19	02:03.3	2.9	2.73	8.36	3.22	6.57	4.13	0.11	7.99	0.3	20	
49.88140111	5.282403635	448.151	02:03.8	3.99	2.71	8.74	3.49	6.8	4.22	0.23	7.93	0.2	16.3	
49.88140404	5.282407542	448.106	02:04.2	3.02	2.7	9.83	3.29	5.86	3.98	0.1	7.81	0.2	28.8	
49.88140621	5.282412198	448.138	02:04.8	2.06	2.73	9.31	3.13	5.54	3.91	-1	-1	-1	-1	
49.88140771	5.282418057	448.165	02:05.3	5.46	2.72	10.12	3.21	6.16	3.94	0.72	7.7	0.1	18.4	
49.8814105	5.282422308	448.117	02:05.8	2.89	2.73	9.94	3.16	6.67	3.88	0.11	8.45	0.3	27	
49.88141264	5.282425917	448.143	02:06.3	1.72	2.75	9.32	3.02	7.16	3.66	-1	-1	-1	-1	
49.88141475	5.28243194	448.136	02:06.8	1.68	2.72	9.04	2.95	7.02	3.66	-1	-1	-1	-1	
49.88141775	5.282436275	448.018	02:07.2	2.61	2.7	9.15	2.96	6.52	3.8	0.11	8.48	0.3	27.5	
49.8814202	5.28244161	448.015	02:07.8	2.47	2.7	9.46	2.99	7.18	3.84	1.32	9.33	0.4	30.9	
49.88142213	5.282446987	448.048	02:08.3	2.49	2.7	9.28	2.98	7.14	3.79	1.31	9.28	0.4	30	
49.88142474	5.282450207	448.087	02:08.8	1.74	2.72	8.54	2.99	7.26	3.74	-1	-1	-1	-1	
49.88142612	5.282453438	448.109	02:09.3	0.17	2.75	8.22	3.01	7.44	3.74	-1	-1	-1	-1	
49.88142703	5.282458558	448.189	02:09.8	0.99	2.72	8.79	3.04	7.77	4.11	-1	-1	-1	-1	
49.8814284	5.282460493	448.172	02:10.2	0.11	2.74	8.44	3.06	7.87	4.23	-1	-1	-1	-1	
49.88143053	5.282462915	448.216	02:10.8	-1.15	2.78	7.45	3.08	7.9	4.14	-1	-1	-1	-1	
49.88143025	5.282463218	448.219	02:11.3	0	2.76	8.51	3.16	7.51	4.17	-1	-1	-1	-1	
49.88143	5.282463805	448.172	02:11.8	0.62	2.75	9	3.2	7.27	4.23	-1	-1	-1	-1	
49.88143178	5.282464648	448.145	02:12.3	2.02	2.74	9.61	3.25	7.07	4.15	-1	-1	-1	-1	
49.88143304	5.282466147	448.14	02:12.8	1.08	2.75	9.12	3.19	7.12	4.06	-1	-1	-1	-1	
